interaction_id,view_id_source,élément,action,view_id_destination,méthode,rôles,permission,confirmation,retour_possible,commentaire
I035,V036,évaluer/décider,ouvrir,V038,showDialog,recruitment roles,review permission,oui,oui,Decision state
I036,V037,soumettre candidature,submit,confirmation candidature,local form,candidat,campaign open,non,oui,Attachments and duplicate
I037,V039,composer,submit,V039,_createPost,authorized poster,post create,non,non,Media upload
I038,V039,commentaires,expand,V041,local state,tous connectes,post access,non,oui,Loads comments lazily
I039,V039,réaction,submit,V039,service action,tous connectes,post access,non,non,Repeated action
I040,V039,supprimer post,confirmer,V039,showDialog,author/moderator,ownership,oui,oui,Destructive
I041,V042,conversation,select,V043,setState,tous connectes,participant,non,oui,Responsive master/detail
I042,V042,nouvelle discussion,ouvrir,V045,showDialog,tous connectes,thread create,non,oui,Private/group scope
I043,V043,long press message,ouvrir,V044,showModalBottomSheet,participant,message policy,non,oui,Reply/react/pin/delete
I044,V043,pièce jointe,ouvrir,file picker,V043,FilePicker,participant,attachment policy,non,oui,Size/error states
I045,V043,info groupe,ouvrir,panneau info,showDialog,participant/group admin,group policy,non,oui,Members/admin actions
I046,V046,notification,tap,target route,context.go,tous connectes,target access,non,oui,Deleted target possible
I047,V046,tout marquer lu,submit,V046,service action,tous connectes,own notifications,non,non,Repeated action
I048,V048,pole,ouvrir,V049,showModalBottomSheet,enacchef,pole scope,non,oui,Detail
I049,V048,créer/modifier,ouvrir,V050,showModalBottomSheet,managers,pole manage,non,oui,Form and archive
I050,V051,projet,ouvrir,V052,showModalBottomSheet,enacchef,project scope,non,oui,Detail
I051,V051,créer/modifier,ouvrir,V053,showModalBottomSheet,managers,project manage,non,oui,Form dates/budget
I052,V054,événement,ouvrir,V055,showDialog,tous,event access,non,oui,Participants
I053,V054,créer/modifier,ouvrir,V056,showModalBottomSheet,authorized runtime,event manage,non,oui,Date/time picker
I054,V055,annuler,confirmer,V055,showDialog,event manager,event manage,oui,oui,Destructive
I055,V057,onglet mentorat,select,V058,TabBar,alumni access,alumni route,non,oui,Explicit tab
I056,V057,demande mentorat,ouvrir,formulaire mentorat,showModalBottomSheet,alumni,mentorship policy,non,oui,Form
I057,V059,attribuer points,ouvrir,V060,showDialog,managers,canManageGamification,non,oui,Member/pole filter
I058,V061,cours/cas,ouvrir,V062,showModalBottomSheet,tous connectes,course access,non,oui,Progress/favorite
I059,V063,filtrer période,ouvrir,V064,showModalBottomSheet,enacchef,canViewImpact,non,oui,Period project comparison
I060,V065,archive,ouvrir,V066,showModalBottomSheet,tous connectes,archive visibility,non,oui,Media/story
