"scenario_driver","setup_action","real_mechanism","expected_marker","teardown_action","implementation_status"
"dashboard_dense","login_admin; profile_dense","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Tableau de bord","clear_storage; close_target; restore_network","implemented_navigation_driver"
"dashboard_empty","login_admin; profile_empty","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","state:empty","clear_storage; close_target; restore_network","state_driver_preflight_required"
"dashboard_error","login_admin; intercept_dashboard_500","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","state:error","clear_storage; close_target; restore_network","locator_preflight_required"
"dashboard_finance","login_finance; profile_dense","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Tableau de bord","clear_storage; close_target; restore_network","implemented_navigation_driver"
"dashboard_member","login_member; profile_nominal","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Tableau de bord","clear_storage; close_target; restore_network","implemented_navigation_driver"
"dashboard_multirole","login_multirole; profile_dense","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Tableau de bord","clear_storage; close_target; restore_network","implemented_navigation_driver"
"dashboard_partial","login_admin; profile_partial","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","state:partial","clear_storage; close_target; restore_network","state_driver_preflight_required"
"dashboard_pole","login_polelead; profile_dense","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Tableau de bord","clear_storage; close_target; restore_network","implemented_navigation_driver"
"disabled_login","submit_inactive_credentials","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","text:Compte","clear_storage; close_target; restore_network","locator_preflight_required"
"expired_session","inject_expired_token; navigate_dashboard","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","text:Connexion","clear_storage; close_target; restore_network","locator_preflight_required"
"finance_dashboard","login_finance; profile_dense; navigate_finance","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Finance","clear_storage; close_target; restore_network","implemented_navigation_driver"
"impact_dashboard","login_teamleader; profile_dense; navigate_impact","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Impact","clear_storage; close_target; restore_network","implemented_navigation_driver"
"impact_partial","login_teamleader; profile_partial; navigate_impact","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","state:partial","clear_storage; close_target; restore_network","state_driver_preflight_required"
"invalid_login","submit_invalid_credentials","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","text:Identifiants","clear_storage; close_target; restore_network","locator_preflight_required"
"login_form","clear_storage; navigate_login","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Connexion","clear_storage; close_target; restore_network","implemented_navigation_driver"
"member_disable","login_admin; open_disable_confirmation","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","dialog:confirmation","clear_storage; close_target; restore_network","locator_preflight_required"
"member_edit","login_admin; open_member_edit","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","dialog:edit_member","clear_storage; close_target; restore_network","locator_preflight_required"
"member_import","login_admin; open_import","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","dialog:import","clear_storage; close_target; restore_network","locator_preflight_required"
"member_profile","login_admin; open_member_complete","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Audit","clear_storage; close_target; restore_network","state_driver_preflight_required"
"member_profile_incomplete","login_admin; open_member_incomplete","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Audit","clear_storage; close_target; restore_network","state_driver_preflight_required"
"member_profile_multirole","login_admin; open_multirole","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:MultiRole","clear_storage; close_target; restore_network","state_driver_preflight_required"
"members_list","login_admin; profile_dense; navigate_members","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Membres","clear_storage; close_target; restore_network","implemented_navigation_driver"
"network_offline","login_member; set_offline; navigate_dashboard","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","state:offline","clear_storage; close_target; restore_network","locator_preflight_required"
"password_recovery","open_password_recovery","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","text:Mot de passe","clear_storage; close_target; restore_network","locator_preflight_required"
"password_toggle","toggle_password_visibility","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","input:password","clear_storage; close_target; restore_network","locator_preflight_required"
"payment_pending","login_finance; open_pending_payment","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Paiement","clear_storage; close_target; restore_network","state_driver_preflight_required"
"payment_proof","login_finance; open_payment_proof","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","preview:proof","clear_storage; close_target; restore_network","state_driver_preflight_required"
"payment_rejected","login_finance; open_rejected_payment","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Refuse","clear_storage; close_target; restore_network","state_driver_preflight_required"
"shell_admin_desktop","login_admin; navigate_dashboard","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","nav:desktop","clear_storage; close_target; restore_network","state_driver_preflight_required"
"shell_alumni_menu","login_alumni; open_menu","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","nav:limited","clear_storage; close_target; restore_network","state_driver_preflight_required"
"shell_badges","login_admin; unread_notifications","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","badge:notifications","clear_storage; close_target; restore_network","state_driver_preflight_required"
"shell_finance_tablet","login_finance; navigate_dashboard","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","nav:tablet","clear_storage; close_target; restore_network","state_driver_preflight_required"
"shell_member_mobile","login_member; navigate_dashboard","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","nav:mobile","clear_storage; close_target; restore_network","state_driver_preflight_required"
"splash_bootstrap","clear_storage; open_app","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:EnactSpace","clear_storage; close_target; restore_network","implemented_navigation_driver"
